execution_date;algorithm_name;execution_time;true_positives;false_positives;false_negatives;precision;recall;f1_score
2026-04-28 21:31:45.668427;DBSCAN;5.333034992218018;0;0;972;0.0;0.0;0.0
2026-04-28 21:31:45.668438;IsolationForest;5.333034992218018;30;954;942;0.0304878048780487;0.0308641975308641;0.0306748466257668
2026-04-29 09:11:53.017285;DBSCAN;4.912216901779175;0;0;1029;0.0;0.0;0.0
2026-04-29 09:11:53.017294;IsolationForest;4.912216901779175;49;931;980;0.05;0.0476190476190476;0.048780487804878
2026-04-30 08:22:30.821564;DBSCAN;4.518600940704346;0;0;986;0.0;0.0;0.0
2026-04-30 08:22:30.821573;IsolationForest;4.518600940704346;58;924;928;0.0590631364562118;0.0588235294117647;0.0589430894308943
2026-04-30 09:43:13.418232;DBSCAN;4.888549566268921;0;0;989;0.0;0.0;0.0
2026-04-30 09:43:13.418241;IsolationForest;4.888549566268921;54;932;935;0.0547667342799188;0.0546006066734074;0.0546835443037974
2026-05-04 10:07:36.545376;DBSCAN;4.645735025405884;0;0;1027;0.0;0.0;0.0
2026-05-04 10:07:36.545415;IsolationForest;4.645735025405884;41;946;986;0.0415400202634245;0.0399221032132424;0.0407149950347567
2026-05-05 20:41:59.230231;DBSCAN;6.651261806488037;0;0;1088;0.0;0.0;0.0
2026-05-05 20:41:59.230240;IsolationForest;6.651261806488037;49;934;1039;0.0498474059003051;0.0450367647058823;0.0473201352003862
2026-05-05 20:47:29.441270;DBSCAN;7.765686750411987;0;0;1006;0.0;0.0;0.0
2026-05-05 20:47:29.441280;IsolationForest;7.765686750411987;39;951;967;0.0393939393939393;0.0387673956262425;0.0390781563126252
2026-05-05 20:57:40.935530;DBSCAN;4.029046058654785;0;0;1052;0.0;0.0;0.0
2026-05-05 20:57:40.935537;IsolationForest;4.029046058654785;54;929;998;0.0549338758901322;0.0513307984790874;0.053071253071253
2026-05-05 21:02:25.876392;DBSCAN;4.755054473876953;0;0;977;0.0;0.0;0.0
2026-05-05 21:02:25.876401;IsolationForest;4.755054473876953;50;937;927;0.0506585612968591;0.0511770726714432;0.0509164969450101
2026-05-05 21:05:11.112191;DBSCAN;5.963515281677246;0;0;1040;0.0;0.0;0.0
2026-05-05 21:05:11.112204;IsolationForest;5.963515281677246;61;926;979;0.0618034447821681;0.0586538461538461;0.0601874691662555
2026-05-06 14:09:08.809795;DBSCAN;4.667919158935547;0;0;1058;0.0;0.0;0.0
2026-05-06 14:09:08.809805;IsolationForest;4.667919158935547;57;928;1001;0.0578680203045685;0.053875236294896;0.0558002936857562
2026-05-06 14:17:49.117857;DBSCAN;10.399645328521729;0;0;1032;0.0;0.0;0.0
2026-05-06 14:17:49.117875;IsolationForest;10.399645328521729;48;935;984;0.0488301119023397;0.0465116279069767;0.0476426799007444
2026-05-06 14:46:56.408360;DBSCAN;3.645130395889282;0;0;997;0.0;0.0;0.0
2026-05-06 14:46:56.408371;IsolationForest;3.645130395889282;43;944;954;0.0435663627152988;0.0431293881644934;0.0433467741935483
2026-05-06 15:37:08.690276;DBSCAN;7.315496206283569;0;0;1033;0.0;0.0;0.0
2026-05-06 15:37:08.690288;IsolationForest;7.315496206283569;51;930;982;0.0519877675840978;0.0493707647628267;0.0506454816285997
2026-05-06 15:49:11.940550;DBSCAN;33.18067049980164;0;5;5124;0.0;0.0;0.0
2026-05-06 15:49:11.940575;IsolationForest;33.18067049980164;247;4646;4877;0.0504802779480891;0.0482045277127244;0.0493161625237096
2026-05-06 16:03:58.486523;DBSCAN;33.69629883766174;1;8;5048;0.1111111111111111;0.0001980590215884;0.0003954132068011
2026-05-06 16:03:58.486535;IsolationForest;33.69629883766174;272;4644;4777;0.0553295362082994;0.0538720538720538;0.054591068740592
2026-05-06 16:15:02.347322;DBSCAN;18.71435523033142;0;8;2971;0.0;0.0;0.0
2026-05-06 16:15:02.347336;IsolationForest;18.71435523033142;145;2795;2826;0.0493197278911564;0.0488051161225176;0.0490610725765521
2026-05-07 07:25:27.674656;DBSCAN;8.95349383354187;0;6;3005;0.0;0.0;0.0
2026-05-07 07:25:27.674670;IsolationForest;8.95349383354187;146;2791;2859;0.0497105890364317;0.0485856905158069;0.0491417031302591
2026-05-07 08:19:01.011808;DBSCAN;22.64425611495972;0;4;2988;0.0;0.0;0.0
2026-05-07 08:19:01.011818;IsolationForest;22.64425611495972;149;2809;2839;0.0503718728870858;0.0498661311914324;0.050117726202489
2026-05-07 13:23:17.867667;DBSCAN;14.371803045272827;0;10;3039;0.0;0.0;0.0
2026-05-07 13:23:17.867678;IsolationForest;14.371803045272827;175;2762;2864;0.0595846101464078;0.0575847318196775;0.0585676037483266
2026-05-07 13:29:20.089319;DBSCAN;13.702479839324951;1;5;2980;0.1666666666666666;0.0003354579000335;0.000669568128557
2026-05-07 13:29:20.089338;IsolationForest;13.702479839324951;142;2811;2839;0.0480866915001693;0.0476350218047635;0.0478597910347152
2026-05-07 13:39:36.854010;DBSCAN;31.411646366119385;1;7;3007;0.125;0.0003324468085106;0.0006631299734748
2026-05-07 13:39:36.854023;IsolationForest;31.411646366119385;153;2791;2855;0.0519701086956521;0.0508643617021276;0.0514112903225806
2026-05-07 15:25:01.694955;DBSCAN;12.892083406448364;0;7;3078;0.0;0.0;0.0
2026-05-07 15:25:01.694989;IsolationForest;12.892083406448364;152;2805;2926;0.051403449442002;0.0493827160493827;0.0503728251864125
2026-05-07 15:27:18.941930;DBSCAN;10.887218236923218;1;5;3005;0.1666666666666666;0.0003326679973386;0.0006640106241699
2026-05-07 15:27:18.941950;IsolationForest;10.887218236923218;139;2783;2867;0.0475701574264202;0.0462408516300731;0.0468960863697705
2026-05-07 15:29:30.840110;DBSCAN;12.158892631530762;0;4;2957;0.0;0.0;0.0
2026-05-07 15:29:30.840137;IsolationForest;12.158892631530762;130;2800;2827;0.04436860068259386;0.043963476496449105;0.04416510956344488
